K00002	alcohol dehydrogenase (NADP+)
K11964	pellino
K11968	ariadne-1
K11969	ariadne-2
K11971	E3 ubiquitin-protein ligase RNF14
K11972	E3 ubiquitin-protein ligase RNF19A
K11978	E3 ubiquitin-protein ligase UBR3
K11979	E3 ubiquitin-protein ligase UBR7
K11980	E3 ubiquitin-protein ligase RNF11
K11982	RNF115_E3 ubiquitin-protein ligase RNF115/126
K11984	U4/U6.U5 tri-snRNP-associated protein 1
K11985	TRAF-interacting protein
K11986	ubiquitin carboxyl-terminal hydrolase 3
K11990	desert hedgehog
K11992	acyl-CoA thioesterase 8
K11996	adenylyltransferase and sulfurtransferase
K11997	TRIM2_tripartite motif-containing protein 2/3
K12035	tripartite motif-containing protein 71
K12040	solute carrier family 9 (sodium/hydrogen exchanger), member 3
K12041	SLC9A6_solute carrier family 9 (sodium/hydrogen exchanger), member 6/7
K12042	troponin C, skeletal muscle
K12044	troponin I, cardiac muscle
K12046	troponin T, fast skeletal muscle
K12047	maltase-glucoamylase
K12076	disks large protein 1
K12077	pyruvate dehydrogenase kinase isoform 1
K12150	adenosine 5'-monophosphoramidase HINT3
K12158	ubiquitin-like protein Nedd8
K12160	small ubiquitin-related modifier
K12161	ubiquitin related modifier 1
K12162	ubiquitin-fold modifier 1
K12164	ubiquitin-like modifier-activating enzyme 5
K12165	ufm1-conjugating enzyme 1
K12168	E3 ubiquitin-protein ligase HECW2
K12172	E3 SUMO-protein ligase RanBP2
K12173	BRCA1-A complex subunit BRE
K12175	COP9 signalosome complex subunit 1
K12176	COP9 signalosome complex subunit 2
K12177	COP9 signalosome complex subunit 3
K12178	COP9 signalosome complex subunit 4
K12179	COP9 signalosome complex subunit 6
K12180	COP9 signalosome complex subunit 7
K12181	COP9 signalosome complex subunit 8
K12182	hepatocyte growth factor-regulated tyrosine kinase substrate
K12183	ESCRT-I complex subunit TSG101
K12184	ESCRT-I complex subunit VPS28
K12185	ESCRT-I complex subunit VPS37
K12186	ESCRT-I complex subunit MVB12
K12188	ESCRT-II complex subunit VPS22
K12189	ESCRT-II complex subunit VPS25
K12190	ESCRT-II complex subunit VPS36
K12191	charged multivesicular body protein 2A
K12192	charged multivesicular body protein 2B
K12193	charged multivesicular body protein 3
K12194	CHMP4A_charged multivesicular body protein 4A/B
K12195	charged multivesicular body protein 6
K12196	vacuolar protein-sorting-associated protein 4
K12197	charged multivesicular body protein 1
K12198	charged multivesicular body protein 5
K12199	vacuolar protein sorting-associated protein VTA1
K12200	programmed cell death 6-interacting protein
K12231	E3 ubiquitin-protein ligase HECTD1
K12235	serine racemase
K12236	transcriptional repressor NF-X1
K12261	2-hydroxyacyl-CoA lyase
K12272	signal recognition particle receptor subunit beta
K12275	translocation protein SEC62
K12301	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5
K12302	SLC17A6_7_MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8
K12303	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 9
K12304	soluble calcium-activated nucleotidase 1
K12305	ectonucleoside triphosphate diphosphohydrolase 4
K12306	MFS transporter, FLVCR family, MFS-domain-containing protein 7
K12307	MFS transporter, DHA1 family, ceroid-lipofuscinosis neuronal protein 7
K12309	beta-galactosidase
K12311	lysosomal alpha-mannosidase
K12319	guanylate cyclase soluble subunit beta
K12323	atrial natriuretic peptide receptor A
K12332	calcitonin
K12345	3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase
K12348	acid ceramidase
K12350	sphingomyelin phosphodiesterase
K12351	sphingomyelin phosphodiesterase 2
K12353	sphingomyelin phosphodiesterase 4
K12362	RAS guanyl-releasing protein 3
K12364	RAS guanyl-releasing protein, other
K12366	engulfment and cell motility protein 1
K12373	HEXA_hexosaminidase
K12382	saposin
K12383	ganglioside GM2 activator
K12384	lysosome membrane protein 2
K12385	Niemann-Pick C1 protein
K12386	cystinosin
K12387	lysosomal-associated transmembrane protein
K12389	battenin
K12391	AP-1 complex subunit gamma-1
K12392	AP-1 complex subunit beta-1
K12393	AP-1 complex subunit mu
K12394	AP1S1_AP-1 complex subunit sigma 1/2
K12396	AP-3 complex subunit delta
K12397	AP-3 complex subunit beta
K12398	AP-3 complex subunit mu
K12399	AP-3 complex subunit sigma
K12404	ADP-ribosylation factor-binding protein GGA
K12407	glucokinase
K12412	pheromone receptor transcription factor
K12450	UDP-glucose 4,6-dehydratase
K12456	anaphase-promoting complex subunit 13
K12461	fibroblast growth factor receptor substrate 2
K12462	Rho GDP-dissociation inhibitor
K12471	epsin
K12472	epidermal growth factor receptor substrate 15
K12475	disabled homolog 2
K12476	EH domain-containing protein 3
K12478	early endosome antigen 1
K12479	vacuolar protein sorting-associated protein 45
K12480	Rab GTPase-binding effector protein 1
K12481	rabenosyn-5
K12482	RUFY1_RUN and FYVE domain-containing protein 1/2
K12483	EH domain-containing protein 1
K12485	RAB11FIP3_Rab11 family-interacting protein 3/4
K12486	stromal membrane-associated protein
K12487	G protein-coupled receptor kinase interactor 2
K12488	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein
K12489	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein
K12491	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3/4/5/6/9/11
K12492	ADP-ribosylation factor GTPase-activating protein 1
K12493	ARFGAP2_ADP-ribosylation factor GTPase-activating protein 2/3
K12494	PH and SEC7 domain-containing protein
K12495	IQ motif and SEC7 domain-containing protein
K12504	decaprenyl-diphosphate synthase subunit 1
K12505	decaprenyl-diphosphate synthase subunit 2
K12562	amphiphysin
K12563	delta-sarcoglycan
K12565	alpha-sarcoglycan
K12566	beta-sarcoglycan
K12567	titin
K12571	PAB-dependent poly(A)-specific ribonuclease subunit 2
K12572	PAB-dependent poly(A)-specific ribonuclease subunit 3
K12580	CCR4-NOT transcription complex subunit 3
K12581	CNOT7_CCR4-NOT transcription complex subunit 7/8
K12584	m7GpppX diphosphatase
K12585	exosome complex exonuclease DIS3/RRP44
K12586	exosome complex component RRP43
K12587	exosome complex component MTR3
K12589	exosome complex component RRP42
K12590	exosome complex component RRP46
K12591	exosome complex exonuclease RRP6
K12592	exosome complex protein LRP1
K12593	M-phase phosphoprotein 6, animal type
K12598	ATP-dependent RNA helicase DOB1
K12599	antiviral helicase SKI2
K12602	WD repeat-containing protein 61
K12603	CCR4-NOT transcription complex subunit 6
K12604	CCR4-NOT transcription complex subunit 1
K12605	CCR4-NOT transcription complex subunit 2
K12606	CCR4-NOT transcription complex subunit 9
K12607	CCR4-NOT transcription complex subunit 10
K12610	mRNA-decapping enzyme 1A
K12611	mRNA-decapping enzyme 1B
K12613	mRNA-decapping enzyme subunit 2
K12614	ATP-dependent RNA helicase DDX6/DHH1
K12617	DNA topoisomerase 2-associated protein PAT1
K12618	5'-3' exoribonuclease 1
K12619	5'-3' exoribonuclease 2
K12620	U6 snRNA-associated Sm-like protein LSm1
K12621	U6 snRNA-associated Sm-like protein LSm2
K12622	U6 snRNA-associated Sm-like protein LSm3
K12623	U6 snRNA-associated Sm-like protein LSm4
K12624	U6 snRNA-associated Sm-like protein LSm5
K12625	U6 snRNA-associated Sm-like protein LSm6
K12626	U6 snRNA-associated Sm-like protein LSm7
K12627	U6 snRNA-associated Sm-like protein LSm8
K12646	ATP-dependent RNA helicase DDX58
K12655	OTU domain-containing protein 5
K12657	delta-1-pyrroline-5-carboxylate synthetase
K12662	U4/U6 small nuclear ribonucleoprotein PRP4
K12663	Delta3,5-Delta2,4-dienoyl-CoA isomerase
K12666	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 1 (ribophorin I)
K12667	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 2 (ribophorin II)
K12668	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DAD1/OST2
K12670	dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DDOST/WBP1
K12733	peptidyl-prolyl cis-trans isomerase-like 1
K12734	peptidyl-prolyl cis-trans isomerase-like 3
K12735	peptidyl-prolyl cis-trans isomerase-like 4
K12736	peptidylprolyl isomerase domain and WD repeat-containing protein 1
K12737	peptidyl-prolyl cis-trans isomerase SDCCAG10
K12741	HNRNPA1_heterogeneous nuclear ribonucleoprotein A1/A3
K12751	myosin light chain 6
K12757	myosin regulatory light chain 12
K12778	meiosis-specific protein
K12811	ATP-dependent RNA helicase DDX46/PRP5
K12812	ATP-dependent RNA helicase UAP56/SUB2
K12813	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
K12815	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16
K12816	pre-mRNA-processing factor 17
K12817	pre-mRNA-splicing factor 18
K12818	ATP-dependent RNA helicase DHX8/PRP22
K12819	pre-mRNA-processing factor SLU7
K12820	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43
K12821	pre-mRNA-processing factor 40
K12822	RNA-binding protein 25
K12823	ATP-dependent RNA helicase DDX5/DBP2
K12824	transcription elongation regulator 1
K12825	splicing factor 3A subunit 1
K12826	splicing factor 3A subunit 2
K12827	splicing factor 3A subunit 3
K12828	splicing factor 3B subunit 1
K12829	splicing factor 3B subunit 2
K12830	splicing factor 3B subunit 3
K12831	splicing factor 3B subunit 4
K12832	splicing factor 3B subunit 5
K12833	pre-mRNA branch site protein p14
K12834	PHD finger-like domain-containing protein 5A
K12835	ATP-dependent RNA helicase DDX42
K12836	splicing factor U2AF 35 kDa subunit
K12837	splicing factor U2AF 65 kDa subunit
K12838	poly(U)-binding-splicing factor PUF60
K12839	survival of motor neuron-related-splicing factor 30
K12840	splicing factor 45
K12841	calcium homeostasis endoplasmic reticulum protein
K12842	U2-associated protein SR140
K12843	U4/U6 small nuclear ribonucleoprotein PRP3
K12844	U4/U6 small nuclear ribonucleoprotein PRP31
K12845	U4/U6 small nuclear ribonucleoprotein SNU13
K12846	U4/U6.U5 tri-snRNP-associated protein 3
K12847	U4/U6.U5 tri-snRNP-associated protein 2
K12848	U4/U6.U5 tri-snRNP component SNU23
K12849	pre-mRNA-splicing factor 38A
K12850	pre-mRNA-splicing factor 38B
K12852	116 kDa U5 small nuclear ribonucleoprotein component
K12854	pre-mRNA-splicing helicase BRR2
K12855	pre-mRNA-processing factor 6
K12856	pre-mRNA-processing factor 8
K12857	Prp8 binding protein
K12858	ATP-dependent RNA helicase DDX23/PRP28
K12859	U5 snRNP protein, DIM1 family
K12860	pre-mRNA-splicing factor CDC5/CEF1
K12861	pre-mRNA-splicing factor SPF27
K12862	pleiotropic regulator 1
K12863	protein CWC15
K12864	beta-catenin-like protein 1
K12865	polyglutamine-binding protein 1
K12866	WW domain-binding protein 11
K12867	pre-mRNA-splicing factor SYF1
K12868	pre-mRNA-splicing factor SYF2
K12869	crooked neck
K12870	pre-mRNA-splicing factor ISY1
K12871	coiled-coil domain-containing protein 12
K12872	pre-mRNA-splicing factor RBM22/SLT11
K12873	bud site selection protein 31
K12874	intron-binding protein aquarius
K12875	apoptotic chromatin condensation inducer in the nucleus
K12876	RNA-binding protein 8A
K12877	protein mago nashi
K12878	THO complex subunit 1
K12879	THO complex subunit 2
K12880	THO complex subunit 3
K12881	THO complex subunit 4
K12882	nuclear cap-binding protein subunit 1
K12883	nuclear cap-binding protein subunit 2
K12886	heterogeneous nuclear ribonucleoprotein K
K12890	serine/arginine-rich splicing factor 1
K12891	SRSF2_serine/arginine-rich splicing factor 2/8
K12892	serine/arginine-rich splicing factor 3
K12893	SRSF4_5_serine/arginine-rich splicing factor 4/5/6
K12896	serine/arginine-rich splicing factor 7
K12897	transformer-2 protein
K12898	HNRNPF_heterogeneous nuclear ribonucleoprotein F/H
K12900	serine/arginine-rich splicing factor 10
K12946	signal peptidase complex subunit 1
K12947	signal peptidase complex subunit 2
K12948	signal peptidase complex subunit 3
K12958	caveolin 2
K12968	double-stranded RNA-specific adenosine deaminase
K13024	inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase
K13025	ATP-dependent RNA helicase
K13046	tolkin
K13054	meiotic recombination protein REC8, animal type
K13084	phosphatidylinositol-4,5-bisphosphate 4-phosphatase
K13089	interleukin enhancer-binding factor 2
K13091	RBM23_RNA-binding protein 23/39
K13092	nuclear protein NHN1
K13093	HIV Tat-specific factor 1
K13094	RBM5_RNA-binding protein 5/10
K13095	splicing factor 1
K13098	RNA-binding protein FUS
K13099	CD2 antigen cytoplasmic tail-binding protein 2
K13100	pre-mRNA-splicing factor CWC22
K13101	G patch domain and KOW motifs-containing protein
K13102	DNA/RNA-binding protein KIN17
K13103	tuftelin-interacting protein 11
K13104	zinc finger protein 830
K13105	proline-rich protein PRCC
K13106	pre-mRNA-splicing factor CWC26
K13107	RNA-binding motif protein, X-linked 2
K13108	smad nuclear-interacting protein 1
K13109	IK cytokine
K13110	microfibrillar-associated protein 1
K13111	WD40 repeat-containing protein SMU1
K13113	ubiquitin-like protein 5
K13114	pinin
K13115	coiled-coil domain-containing protein 130
K13116	ATP-dependent RNA helicase DDX41
K13117	ATP-dependent RNA helicase DDX35
K13118	protein DGCR14
K13119	protein FAM50
K13120	protein FAM32A
K13121	protein FRA10AC1
K13122	protein FRG1
K13123	G patch domain-containing protein 1
K13124	mitogen-activated protein kinase organizer 1
K13125	nitric oxide synthase-interacting protein
K13126	polyadenylate-binding protein
K13127	RING finger protein 113A
K13128	zinc finger CCHC domain-containing protein 8
K13129	survival motor neuron protein
K13130	gem associated protein 2
K13131	ATP-dependent RNA helicase DDX20
K13134	gem associated protein 6
K13135	gem associated protein 7
K13136	gem associated protein 8
K13138	integrator complex subunit 1
K13139	integrator complex subunit 2
K13140	integrator complex subunit 3
K13141	integrator complex subunit 4
K13142	integrator complex subunit 5
K13143	integrator complex subunit 6
K13144	integrator complex subunit 7
K13145	integrator complex subunit 8
K13146	integrator complex subunit 9
K13147	integrator complex subunit 10
K13148	integrator complex subunit 11
K13149	integrator complex subunit 12
K13151	snurportin-1
K13152	U11/U12 small nuclear ribonucleoprotein 20 kDa protein
K13155	U11/U12 small nuclear ribonucleoprotein 35 kDa protein
K13157	U11/U12 small nuclear ribonucleoprotein 65 kDa protein
K13159	heterogeneous nuclear ribonucleoprotein L
K13160	heterogeneous nuclear ribonucleoprotein Q
K13161	heterogeneous nuclear ribonucleoprotein R
K13165	splicing regulatory glutamine/lysine-rich protein 1
K13167	SR-related and CTD-associated factor 4
K13168	CLK4-associating serine/arginine rich protein
K13169	A-kinase anchor protein 17
K13170	arginine/serine-rich protein PNISR
K13171	serine/arginine repetitive matrix protein 1
K13173	arginine and glutamate-rich protein 1
K13174	THO complex subunit 5
K13175	THO complex subunit 6
K13176	THO complex subunit 7
K13177	ATP-dependent RNA helicase DDX1
K13179	ATP-dependent RNA helicase DDX18/HAS1
K13181	ATP-dependent RNA helicase DDX27
K13184	ATP-dependent RNA/DNA helicase DHX9
K13185	ATP-dependent RNA helicase DHX30
K13187	RNA-binding protein 4
K13188	RNA-binding protein 7
K13190	RNA-binding protein 15
K13192	RNA-binding protein 26
K13194	double stranded RNA-specific editase B
K13196	zinc finger protein ubi-d4
K13199	plasminogen activator inhibitor 1 RNA-binding protein
K13201	nucleolysin TIA-1/TIAR
K13202	target of EGR1 protein 1
K13203	zinc finger RNA-binding protein
K13205	A1 cistron-splicing factor AAR2
K13206	coiled-coil domain-containing protein 55
K13207	CUG-BP- and ETR3-like factor
K13208	ELAVL2_3_ELAV like protein 2/3/4
K13210	far upstream element-binding protein
K13211	GC-rich sequence DNA-binding factor
K13212	RNA-binding protein Luc7-like 2
K13216	nuclear inhibitor of protein phosphatase 1
K13217	pre-mRNA-processing factor 39
K13218	polypyrimidine tract-binding protein 1
K13219	splicing factor, proline- and glutamine-rich
K13220	WW domain-binding protein 4
K13236	2,4-dienoyl-CoA reductase, mitochondrial
K13239	Delta3-Delta2-enoyl-CoA isomerase
K13247	L-gulonate 3-dehydrogenase
K13249	translocon-associated protein subunit alpha
K13250	translocon-associated protein subunit beta
K13251	translocon-associated protein subunit gamma
K13254	spastin
K13273	phosphomevalonate kinase
K13278	60kDa lysophospholipase
K13279	peroxiredoxin 1
K13280	signal peptidase I
K13288	oligoribonuclease
K13289	cathepsin A (carboxypeptidase C)
K13291	terminal uridylyltransferase
K13293	cAMP-specific phosphodiesterase 4
K13299	glutathione S-transferase kappa 1
K13302	serum/glucocorticoid-regulated kinase 1
K13336	peroxin-3
K13337	peroxin-19
K13338	peroxin-1
K13339	peroxin-6
K13342	peroxin-5
K13343	peroxin-14
K13344	peroxin-13
K13345	peroxin-12
K13346	peroxin-10
K13348	protein Mpv17
K13350	peroxisomal membrane protein 4
K13353	peroxin-11C
K13356	alcohol-forming fatty acyl-CoA reductase
K13358	sodium/hydrogen exchange regulatory cofactor NHE-RF2
K13365	sodium/hydrogen exchange regulatory cofactor NHE-RF1
K13369	17beta-estradiol 17-dehydrogenase / all-trans-retinol dehydrogenase (NAD+) / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+)
K13370	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit
K13403	methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase
K13411	dual oxidase
K13421	uridine monophosphate synthetase
K13431	signal recognition particle receptor subunit alpha
K13443	Niemann-Pick C2 protein
K13499	chondroitin sulfate synthase
K13504	vesicle-associated membrane protein 2
K13505	vesicle-associated membrane protein 3
K13506	GPAT3_glycerol-3-phosphate O-acyltransferase 3/4
K13509	AGPAT1_lysophosphatidate acyltransferase
K13510	LPCAT1_lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase
K13511	monolysocardiolipin acyltransferase
K13513	lysocardiolipin and lysophospholipid acyltransferase
K13514	lysophosphatidylglycerol acyltransferase 1
K13515	lysophospholipid acyltransferase 5
K13516	lysophospholipid acyltransferase 7
K13517	MBOAT1_lysophospholipid acyltransferase 1/2
K13524	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase
K13525	transitional endoplasmic reticulum ATPase
K13526	cation-transporting P-type ATPase 13A2
K13528	mediator of RNA polymerase II transcription subunit 20
K13539	leishmanolysin-like peptidase
K13575	solute carrier family 4 (sodium bicarbonate cotransporter), member 4
K13577	solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10
K13578	bone morphogenetic protein receptor type-1B
K13596	activin receptor type-2B
K13617	protein phosphatase methylesterase 1
K13619	phospholipase DDHD1
K13644	choline/ethanolamine phosphotransferase
K13646	lysyl hydroxylase/galactosyltransferase/glucosyltransferase
K13647	procollagen-lysine,2-oxoglutarate 5-dioxygenase, invertebrate
K13667	EGF-domain serine glucosyl/xylosyltransferase
K13675	UDP-glucose:O-linked fucose beta-1,3-glucosyltransferase
K13696	ABHD1_abhydrolase domain-containing protein 1/3
K13697	abhydrolase domain-containing protein 2
K13704	abhydrolase domain-containing protein 12
K13706	abhydrolase domain-containing protein 14
K13708	dedicator of cytokinesis protein 1
K13710	Rho guanine nucleotide exchange factor 7
K13711	phosphatidylinositol 4-kinase type 2
K13717	OTU domain-containing protein 3
K13720	N-(long-chain-acyl)ethanolamine deacylase
K13750	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2
K13754	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
K13755	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase
K13758	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta
K13780	solute carrier family 7 (L-type amino acid transporter), member 5
K13781	solute carrier family 7 (L-type amino acid transporter), member 8
K13800	UMP-CMP kinase
K13807	serine/threonine-protein phosphatase with EF-hands
K13811	3'-phosphoadenosine 5'-phosphosulfate synthase
K13813	syntaxin 12/13
K13862	solute carrier family 4 (sodium borate transporter), member 11
K13866	solute carrier family 7 (cationic amino acid transporter), member 4
K13872	solute carrier family 7 (L-type amino acid transporter), member 6
K13885	scavenger receptor class B, member 1
K13886	CORO1B_1C_coronin-1B/1C/6
K13887	coronin-2
K13899	cystatin-C
K13902	cystatin-M
K13907	CSTA_cystatin-A/B
K13917	mRNA-capping enzyme
K13948	prostaglandin reductase 1
K13949	prostaglandin reductase 2
K13953	alcohol dehydrogenase, propanol-preferring
K13982	probable ATP-dependent RNA helicase DDX4
K13987	ADP-ribose diphosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase
K13988	ADP-ribose diphosphatase
K13989	DERL2_Derlin-2/3
K14003	prolactin regulatory element-binding protein
K14004	protein transport protein SEC13
K14006	protein transport protein SEC23
K14007	protein transport protein SEC24
K14008	endoplasmic reticulum lectin 1
K14009	B-cell receptor-associated protein 31
K14010	translocating chain-associated membrane protein 1
K14011	UBX domain-containing protein 6
K14012	UBX domain-containing protein 1
K14015	nuclear protein localization protein 4
K14016	ubiquitin fusion degradation protein 1
K14018	phospholipase A-2-activating protein
K14026	SEL1 protein
K14033	nuclear receptor subfamily 1 group F member 4
K14034	ecdysone receptor
K14035	nuclear receptor subfamily 1 group I
K14050	geranylgeranyl transferase type-2 subunit alpha
K14071	leucokinin receptor
K14072	Rya-RYamide receptor
K14079	poly(A) RNA polymerase GLD2
K14085	aldehyde dehydrogenase family 7 member A1
K14156	choline/ethanolamine kinase
K14157	alpha-aminoadipic semialdehyde synthase
K14163	bifunctional glutamyl/prolyl-tRNA synthetase
K14165	atypical dual specificity phosphatase
K14168	cytoplasmic tRNA 2-thiolation protein 1
K14169	cytoplasmic tRNA 2-thiolation protein 2
K14191	18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase
K14206	solute carrier family 15 (oligopeptide transporter), member 1
K14209	solute carrier family 36 (proton-coupled amino acid transporter)
K14210	solute carrier family 3 (neutral and basic amino acid transporter), member 1
K14213	Xaa-Pro dipeptidase
K14218	tRNA-tRNA Ala
K14219	tRNA-tRNA Arg
K14220	tRNA-tRNA Asn
K14221	tRNA-tRNA Asp
K14222	tRNA-tRNA Cys
K14223	tRNA-tRNA Gln
K14224	tRNA-tRNA Glu
K14225	tRNA-tRNA Gly
K14226	tRNA-tRNA His
K14227	tRNA-tRNA Ile
K14228	tRNA-tRNA Leu
K14229	tRNA-tRNA Lys
K14230	tRNA-tRNA Met
K14231	tRNA-tRNA Phe
K14232	tRNA-tRNA Pro
K14233	tRNA-tRNA Ser
K14234	tRNA-tRNA Thr
K14235	tRNA-tRNA Trp
K14236	tRNA-tRNA Tyr
K14237	tRNA-tRNA Val
K14238	tRNA-tRNA Sec
K14277	U2 spliceosomal RNA
K14278	U4 spliceosomal RNA
K14279	U5 spliceosomal RNA
K14280	U6 spliceosomal RNA
K14284	nuclear RNA export factor
K14285	NXT1_NTF2-related export protein 1/2
K14286	ethanolamine-phosphate phospho-lyase
K14288	exportin-T
K14289	exportin-5
K14290	exportin-1
K14291	phosphorylated adapter RNA export protein
K14292	trimethylguanosine synthase
K14293	importin subunit beta-1
K14294	partner of Y14 and mago
K14295	nuclear pore complex protein Nup50
K14296	nuclear pore complex protein Nup153
K14297	nuclear pore complex protein Nup98-Nup96
K14298	mRNA export factor
K14299	nucleoporin SEH1
K14300	nuclear pore complex protein Nup133
K14301	nuclear pore complex protein Nup107
K14303	nuclear pore complex protein Nup160
K14304	nuclear pore complex protein Nup85
K14305	nuclear pore complex protein Nup43
K14306	nuclear pore complex protein Nup62
K14307	nucleoporin p58/p45
K14308	nuclear pore complex protein Nup54
K14309	nuclear pore complex protein Nup93
K14310	nuclear pore complex protein Nup205
K14311	nuclear pore complex protein Nup188
K14312	nuclear pore complex protein Nup155
K14313	nuclear pore complex protein Nup53
K14314	nuclear pore complex protein Nup210
K14315	nucleoporin NDC1
K14317	nuclear pore complex protein Nup214
K14318	nuclear pore complex protein Nup88
K14319	Ran GTPase-activating protein 1
K14320	aladin
K14322	polyadenylate-binding protein-interacting protein 1
K14323	protein CASC3
K14324	histone deacetylase complex subunit SAP18
K14325	RNA-binding protein with serine-rich domain 1
K14326	regulator of nonsense transcripts 1
K14327	regulator of nonsense transcripts 2
K14328	regulator of nonsense transcripts 3
K14343	SLC10A3_solute carrier family 10 (sodium/bile acid cotransporter), member 3/5
K14349	neutral cholesterol ester hydrolase 1
K14353	solute carrier organic anion transporter family, member 3A
K14354	solute carrier organic anion transporter family, member 4A
K14358	secernin
K14360	organic solute transporter subunit alpha
K14376	poly(A) polymerase
K14379	tartrate-resistant acid phosphatase type 5
K14381	sequestosome 1
K14387	solute carrier family 5 (high affinity choline transporter), member 7
K14388	SLC5A8_solute carrier family 5 (sodium-coupled monocarboxylate transporter), member 8/12
K14394	low molecular weight phosphotyrosine protein phosphatase
K14396	polyadenylate-binding protein 2
K14397	cleavage and polyadenylation specificity factor subunit 5
K14398	CPSF6_cleavage and polyadenylation specificity factor subunit 6/7
K14399	polyribonucleotide 5'-hydroxyl-kinase
K14400	pre-mRNA cleavage complex 2 protein Pcf11
K14401	cleavage and polyadenylation specificity factor subunit 1
K14402	cleavage and polyadenylation specificity factor subunit 2
K14403	cleavage and polyadenylation specificity factor subunit 3
K14404	cleavage and polyadenylation specificity factor subunit 4
K14405	pre-mRNA 3'-end-processing factor FIP1
K14406	cleavage stimulation factor subunit 1
K14407	cleavage stimulation factor subunit 2
K14408	cleavage stimulation factor subunit 3
K14409	protein SMG7
K14410	lysosomal acid phosphatase
K14411	RNA-binding protein Musashi
K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase)
K14416	elongation factor 1 alpha-like protein
K14427	SLC12A4_solute carrier family 12 (potassium/chloride transporter), member 4/6
K14428	solute carrier family 12 (potassium/chloride transporters), member 8
K14429	solute carrier family 12 (potassium/chloride transporters), member 9
K14434	GALT-alpha 1,6-fucoside beta 1,4-galactosyltransferase
K14437	chromodomain-helicase-DNA-binding protein 7
K14439	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
K14440	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
K14442	ATP-dependent RNA helicase DHX36
K14443	protein Tob/BTG
K14445	SLC13A2_3_solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5
K14452	gastric triacylglycerol lipase
K14453	solute carrier family 26, other
K14454	aspartate aminotransferase, cytoplasmic
K14455	aspartate aminotransferase, mitochondrial
K14457	2-acylglycerol O-acyltransferase 2
K14458	2-acylglycerol O-acyltransferase 1
K14459	hexosaminidase
K14464	FUT-alpha-1,3-fucosyltransferase
K14483	small nucleolar RNA SNORD3
K14521	N-acetyltransferase 10
K14523	ribonucleases P/MRP protein subunit RPP38
K14525	ribonucleases P/MRP protein subunit RPP25
K14527	ribonuclease P/MRP protein subunit RPP20
K14535	transcription initiation factor TFIID subunit 9
K14536	ribosome assembly protein 1
K14537	nuclear GTP-binding protein
K14538	nuclear GTP-binding protein
K14539	large subunit GTPase 1
K14544	U3 small nucleolar RNA-associated protein 22
K14545	ribosomal RNA-processing protein 7
K14546	U3 small nucleolar RNA-associated protein 5
K14548	U3 small nucleolar RNA-associated protein 4
K14549	U3 small nucleolar RNA-associated protein 15
K14550	U3 small nucleolar RNA-associated protein 10
K14552	NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)
K14553	U3 small nucleolar RNA-associated protein 18
K14554	U3 small nucleolar RNA-associated protein 21
K14555	U3 small nucleolar RNA-associated protein 13
K14556	U3 small nucleolar RNA-associated protein 12
K14557	U3 small nucleolar RNA-associated protein 6
K14558	periodic tryptophan protein 2
K14559	U3 small nucleolar RNA-associated protein MPP10
