XGW00986.1 V3C99_013727 
XGW17673.1 V3C99_002343 
XGW17674.1 V3C99_002344 
XGW17676.1 V3C99_002345 
XGW17677.1 V3C99_002346 
XGW17679.1 V3C99_002347 
XGW17681.1 V3C99_002348 
XGW17683.1 V3C99_002349 
XGW17684.1 V3C99_002350 
XGW17685.1 V3C99_002351 
XGW17689.1 V3C99_002352 
XGW17690.1 V3C99_002353 
XGW17692.1 V3C99_002354 
XGW17698.1 V3C99_002355 
XGW17700.1 V3C99_002356 
XGW17705.1 V3C99_002357 
XGW17706.1 V3C99_002358 
XGW17709.1 V3C99_002359 
XGW17710.1 V3C99_002360 
XGW17711.1 V3C99_002361 
XGW17712.1 V3C99_002362 
XGW17713.1 V3C99_002363 
XGW17714.1 V3C99_002364 
XGW17715.1 V3C99_002365 
XGW17717.1 V3C99_002366 
XGW17718.1 V3C99_002367 
XGW17719.1 V3C99_002368 
XGW17721.1 V3C99_002369 
XGW17722.1 V3C99_002370 
XGW17724.1 V3C99_002371 
XGW17725.1 V3C99_002372 
XGW17727.1 V3C99_002373 
XGW17728.1 V3C99_002374 
XGW17729.1 V3C99_002375 
XGW17730.1 V3C99_002376 
XGW17731.1 V3C99_002377 
XGW17734.1 V3C99_002378 
XGW17736.1 V3C99_002379 
XGW17737.1 V3C99_002380 
XGW17740.1 V3C99_002381 
XGW17741.1 V3C99_002382 
XGW17742.1 V3C99_002383 
XGW17744.1 V3C99_002384 
XGW17748.1 V3C99_002385 
XGW17751.1 V3C99_002386 
XGW17752.1 V3C99_002387 
XGW17753.1 V3C99_002388 
XGW17755.1 V3C99_002389 
XGW17757.1 V3C99_002390 
XGW17760.1 V3C99_002391 
XGW17763.1 V3C99_002392 
XGW17768.1 V3C99_002393 
XGW17769.1 V3C99_002394 
XGW17770.1 V3C99_002395 
XGW17771.1 V3C99_002396 
XGW17772.1 V3C99_002397 
XGW17775.1 V3C99_002398 
XGW17777.1 V3C99_002399 
XGW17779.1 V3C99_002400 
XGW17780.1 V3C99_002401 
XGW17782.1 V3C99_002402 
XGW17783.1 V3C99_002403 
XGW17785.1 V3C99_002404 
XGW17787.1 V3C99_002405 
XGW17788.1 V3C99_002406 
XGW17789.1 V3C99_002407 
XGW17791.1 V3C99_002408 
XGW17793.1 V3C99_002409 
XGW17795.1 V3C99_002410 
XGW17796.1 V3C99_002411 
XGW17798.1 V3C99_002412 
XGW17799.1 V3C99_002413 
XGW17800.1 V3C99_002414 
XGW17801.1 V3C99_002415 
XGW17802.1 V3C99_002416 
XGW17804.1 V3C99_002417 
XGW17805.1 V3C99_002418 
XGW17806.1 V3C99_002419 
XGW17807.1 V3C99_002420 
XGW17808.1 V3C99_002421 
XGW17809.1 V3C99_002422 
XGW17811.1 V3C99_002423 
XGW17812.1 V3C99_002424 
XGW17813.1 V3C99_002425 
XGW17815.1 V3C99_002426 
XGW17816.1 V3C99_002427 
XGW17817.1 V3C99_002428 
XGW17818.1 V3C99_002429 
XGW17819.1 V3C99_002430 
XGW17820.1 V3C99_002431 
XGW17821.1 V3C99_002432 
XGW17823.1 V3C99_002433 
XGW17824.1 V3C99_002434 
XGW17825.1 V3C99_002435 
XGW17826.1 V3C99_002436 
XGW17827.1 V3C99_002437 
XGW17828.1 V3C99_002438 
XGW17829.1 V3C99_002439 
XGW17830.1 V3C99_002440 
XGW17831.1 V3C99_002441 
XGW17832.1 V3C99_002442 
XGW17833.1 V3C99_002443 
XGW17835.1 V3C99_002444 
XGW17836.1 V3C99_002445 
XGW17838.1 V3C99_002446 
XGW17839.1 V3C99_002447 
XGW17841.1 V3C99_002448 
XGW17843.1 V3C99_002449 
XGW17844.1 V3C99_002450 
XGW17847.1 V3C99_002451 
XGW17848.1 V3C99_002452 
XGW17849.1 V3C99_002453 
XGW17851.1 V3C99_002454 
XGW17853.1 V3C99_002455 
XGW17855.1 V3C99_002456 
XGW17857.1 V3C99_002457 
XGW17860.1 V3C99_002458 
XGW17861.1 V3C99_002459 
XGW17862.1 V3C99_002460 
XGW17864.1 V3C99_002461 
XGW17865.1 V3C99_002462 
XGW17867.1 V3C99_002463 
XGW17868.1 V3C99_002464 
XGW17870.1 V3C99_002465 
XGW17872.1 V3C99_002466 
XGW17875.1 V3C99_002467 
XGW17877.1 V3C99_002468 
XGW17881.1 V3C99_002469 
XGW17885.1 V3C99_002470 
XGW17888.1 V3C99_002471 
XGW17890.1 V3C99_002472 
XGW17891.1 V3C99_002473 
XGW17894.1 V3C99_002474 
XGW17898.1 V3C99_002475 
XGW17899.1 V3C99_002476 
XGW17900.1 V3C99_002477 
XGW17901.1 V3C99_002478 
XGW17904.1 V3C99_002479 
XGW17906.1 V3C99_002480 
XGW17907.1 V3C99_002481 
XGW17910.1 V3C99_002482 
XGW17911.1 V3C99_002483 
XGW17914.1 V3C99_002484 
XGW17916.1 V3C99_002485 
XGW17917.1 V3C99_002486 
XGW17918.1 V3C99_002487 
XGW17922.1 V3C99_002488 
XGW17923.1 V3C99_002489 
XGW17925.1 V3C99_002490 
XGW17927.1 V3C99_002491 
XGW17928.1 V3C99_002492 
XGW17930.1 V3C99_002493 
XGW17934.1 V3C99_002494 
XGW17938.1 V3C99_002495 
XGW17939.1 V3C99_002496 
XGW17941.1 V3C99_002497 
XGW17942.1 V3C99_002498 
XGW17943.1 V3C99_002499 
XGW17944.1 V3C99_002500 
XGW17946.1 V3C99_002501 
XGW17947.1 V3C99_002502 
XGW17948.1 V3C99_002503 
XGW17950.1 V3C99_002504 
XGW17952.1 V3C99_002505 
XGW17953.1 V3C99_002506 
XGW17954.1 V3C99_002507 
XGW17955.1 V3C99_002508 
XGW17958.1 V3C99_002509 
XGW17959.1 V3C99_002510 
XGW17960.1 V3C99_002511 
XGW17964.1 V3C99_002512 
XGW17965.1 V3C99_002513 
XGW17966.1 V3C99_002514 
XGW17968.1 V3C99_002515 
XGW17970.1 V3C99_002516 
XGW17971.1 V3C99_002517 
XGW17973.1 V3C99_002518 
XGW17975.1 V3C99_002519 
XGW17977.1 V3C99_002520 
XGW17980.1 V3C99_002521 
XGW17984.1 V3C99_002522 
XGW17985.1 V3C99_002523 
XGW17987.1 V3C99_002524 
XGW17988.1 V3C99_002525 
XGW17990.1 V3C99_002526 
XGW17991.1 V3C99_002527 
XGW17993.1 V3C99_002528 
XGW17994.1 V3C99_002529 
XGW17995.1 V3C99_002530 
XGW17997.1 V3C99_002531 
XGW18001.1 V3C99_002532 
XGW18002.1 V3C99_002533 
XGW18004.1 V3C99_002534 
XGW18005.1 V3C99_002535 
XGW18006.1 V3C99_002536 
XGW18007.1 V3C99_002537 
XGW18010.1 V3C99_002538 
XGW18011.1 V3C99_002539 
XGW18013.1 V3C99_002540 
XGW18014.1 V3C99_002541 
XGW18016.1 V3C99_002542 
XGW18017.1 V3C99_002543 
XGW18021.1 V3C99_002544 
XGW18023.1 V3C99_002545 
XGW18025.1 V3C99_002546 
XGW18026.1 V3C99_002547 
XGW18030.1 V3C99_002548 
XGW18032.1 V3C99_002549 
XGW18033.1 V3C99_002550 
XGW18034.1 V3C99_002551 
XGW18036.1 V3C99_002552 
XGW18037.1 V3C99_002553 
XGW18039.1 V3C99_002554 
XGW18041.1 V3C99_002555 
XGW18043.1 V3C99_002556 
XGW18045.1 V3C99_002557 
XGW18048.1 V3C99_002558 
XGW18049.1 V3C99_002559 
XGW18050.1 V3C99_002560 
XGW18052.1 V3C99_002561 
XGW18053.1 V3C99_002562 
XGW18055.1 V3C99_002563 
XGW18056.1 V3C99_002564 
XGW18058.1 V3C99_002565 
XGW18062.1 V3C99_002566 
XGW18063.1 V3C99_002567 
XGW18065.1 V3C99_002568 
XGW18066.1 V3C99_002569 
XGW18069.1 V3C99_002570 
XGW18070.1 V3C99_002571 
XGW18071.1 V3C99_002572 
XGW18072.1 V3C99_002573 
XGW18073.1 V3C99_002574 
XGW18075.1 V3C99_002575 
XGW18076.1 V3C99_002576 
XGW18077.1 V3C99_002577 
XGW18078.1 V3C99_002578 
XGW18079.1 V3C99_002579 
XGW18080.1 V3C99_002580 
XGW18081.1 V3C99_002581 
XGW18085.1 V3C99_002582 
XGW18086.1 V3C99_002583 
XGW18087.1 V3C99_002584 
XGW18088.1 V3C99_002585 
XGW18089.1 V3C99_002586 
XGW18092.1 V3C99_002587 
XGW18095.1 V3C99_002588 
XGW18096.1 V3C99_002589 
XGW18098.1 V3C99_002590 
XGW18099.1 V3C99_002591 
XGW18101.1 V3C99_002592 
XGW18103.1 V3C99_002593 
XGW18107.1 V3C99_002594 
XGW18109.1 V3C99_002595 
XGW18111.1 V3C99_002596 
XGW18112.1 V3C99_002597 
XGW18113.1 V3C99_002598 
XGW18114.1 V3C99_002599 
XGW18116.1 V3C99_002600 
XGW18119.1 V3C99_002601 
XGW18121.1 V3C99_002602 
XGW18122.1 V3C99_002603 
XGW18124.1 V3C99_002604 
XGW18125.1 V3C99_002605 
XGW18126.1 V3C99_002606 
XGW18127.1 V3C99_002607 
XGW18128.1 V3C99_002608 
XGW18129.1 V3C99_002609 
XGW18130.1 V3C99_002610 
XGW18132.1 V3C99_002611 
XGW18133.1 V3C99_002612 
XGW18134.1 V3C99_002613 
XGW18136.1 V3C99_002614 
XGW18138.1 V3C99_002615 
XGW18142.1 V3C99_002616 
XGW18143.1 V3C99_002617 
XGW18144.1 V3C99_002618 
XGW18145.1 V3C99_002619 
XGW18146.1 V3C99_002620 
XGW18148.1 V3C99_002621 
XGW18149.1 V3C99_002622 
XGW18150.1 V3C99_002623 
XGW18152.1 V3C99_002624 
XGW18154.1 V3C99_002625 
XGW18157.1 V3C99_002626 
XGW18159.1 V3C99_002627 
XGW18160.1 V3C99_002628 
XGW18161.1 V3C99_002629 
XGW18163.1 V3C99_002630 
XGW18164.1 V3C99_002631 
XGW18165.1 V3C99_002632 
XGW18167.1 V3C99_002633 
XGW18168.1 V3C99_002634 
XGW18169.1 V3C99_002635 
XGW18170.1 V3C99_002636 
XGW18171.1 V3C99_002637 
XGW18175.1 V3C99_002638 
XGW18179.1 V3C99_002639 
XGW18181.1 V3C99_002640 
XGW18182.1 V3C99_002641 
XGW18183.1 V3C99_002642 
XGW18187.1 V3C99_002643 
XGW18188.1 V3C99_002644 
XGW18189.1 V3C99_002645 
XGW18190.1 V3C99_002646 
XGW18191.1 V3C99_002647 
XGW18192.1 V3C99_002648 
XGW18194.1 V3C99_002649 
XGW18197.1 V3C99_002650 
XGW18199.1 V3C99_002651 
XGW18201.1 V3C99_002652 
XGW18203.1 V3C99_002653 
XGW18204.1 V3C99_002654 
XGW18206.1 V3C99_002655 
XGW18207.1 V3C99_002656 
XGW18208.1 V3C99_002657 
XGW18209.1 V3C99_002658 
XGW18211.1 V3C99_002659 
XGW18213.1 V3C99_002660 
XGW18215.1 V3C99_002661 
XGW18218.1 V3C99_002662 
XGW18220.1 V3C99_002663 
XGW18221.1 V3C99_002664 
XGW18223.1 V3C99_002665 
XGW18224.1 V3C99_002666 
XGW18227.1 V3C99_002667 
XGW18229.1 V3C99_002668 
XGW18230.1 V3C99_002669 
XGW18231.1 V3C99_002670 
XGW18233.1 V3C99_002671 
XGW18235.1 V3C99_002672 
XGW18236.1 V3C99_002673 
XGW18237.1 V3C99_002674 
XGW18238.1 V3C99_002675 
XGW18239.1 V3C99_002676 
XGW18240.1 V3C99_002677 
XGW18241.1 V3C99_002678 
XGW18242.1 V3C99_002679 
XGW18243.1 V3C99_002680 
XGW18246.1 V3C99_002681 
XGW18248.1 V3C99_002682 
XGW18251.1 V3C99_002683 
XGW18253.1 V3C99_002684 
XGW18254.1 V3C99_002685 
XGW18255.1 V3C99_002686 
XGW18256.1 V3C99_002687 
XGW18258.1 V3C99_002688 
XGW18260.1 V3C99_002689 
XGW18261.1 V3C99_002690 
XGW18262.1 V3C99_002691 
XGW18263.1 V3C99_002692 
XGW18264.1 V3C99_002693 
XGW18265.1 V3C99_002694 
XGW18266.1 V3C99_002695 
XGW18268.1 V3C99_002696 
XGW18269.1 V3C99_002697 
XGW18271.1 V3C99_002698 
XGW18273.1 V3C99_002699 
XGW18275.1 V3C99_002700 
XGW18277.1 V3C99_002701 
XGW18278.1 V3C99_002702 
XGW18280.1 V3C99_002703 
XGW18282.1 V3C99_002704 
XGW18284.1 V3C99_002705 
XGW18285.1 V3C99_002706 
XGW18286.1 V3C99_002707 
XGW18288.1 V3C99_002708 
XGW18289.1 V3C99_002709 
XGW18291.1 V3C99_002710 
XGW18293.1 V3C99_002711 
XGW18295.1 V3C99_002712 
XGW18297.1 V3C99_002713 
XGW18299.1 V3C99_002714 
XGW18301.1 V3C99_002715 
XGW18303.1 V3C99_002716 
XGW18304.1 V3C99_002717 
XGW18306.1 V3C99_002718 
XGW18308.1 V3C99_002719 
XGW18310.1 V3C99_002720 
XGW18311.1 V3C99_002721 
XGW18312.1 V3C99_002722 
XGW18313.1 V3C99_002723 
XGW18315.1 V3C99_002724 
XGW18316.1 V3C99_002725 
XGW18317.1 V3C99_002726 
XGW18319.1 V3C99_002727 
XGW18321.1 V3C99_002728 
XGW18322.1 V3C99_002729 
XGW18325.1 V3C99_002730 
XGW18326.1 V3C99_002731 
XGW18329.1 V3C99_002732 
XGW18330.1 V3C99_002733 
XGW18331.1 V3C99_002734 
XGW18332.1 V3C99_002735 
XGW18334.1 V3C99_002736 
XGW18336.1 V3C99_002737 
XGW18337.1 V3C99_002738 
XGW18338.1 V3C99_002739 
XGW18339.1 V3C99_002740 
XGW18340.1 V3C99_002741 
XGW18342.1 V3C99_002742 
XGW18344.1 V3C99_002743 
XGW18346.1 V3C99_002744 
XGW18347.1 V3C99_002745 
XGW18348.1 V3C99_002746 
XGW18353.1 V3C99_002747 
XGW18356.1 V3C99_002748 
XGW18358.1 V3C99_002749 
XGW18360.1 V3C99_002750 
XGW18362.1 V3C99_002751 
XGW18364.1 V3C99_002752 
XGW18366.1 V3C99_002753 
XGW18368.1 V3C99_002754 
XGW18369.1 V3C99_002755 
XGW18371.1 V3C99_002756 
XGW18373.1 V3C99_002757 
XGW18375.1 V3C99_002758 
XGW18378.1 V3C99_002759 
XGW18381.1 V3C99_002760 
XGW18382.1 V3C99_002761 
XGW18384.1 V3C99_002762 
XGW18387.1 V3C99_002763 
XGW18388.1 V3C99_002764 
XGW18390.1 V3C99_002765 
XGW18392.1 V3C99_002766 
XGW18396.1 V3C99_002767 
XGW18399.1 V3C99_002768 
XGW18402.1 V3C99_002769 
XGW18403.1 V3C99_002770 
XGW18405.1 V3C99_002771 
XGW18407.1 V3C99_002772 
XGW18408.1 V3C99_002773 
XGW18409.1 V3C99_002774 
XGW18412.1 V3C99_002775 
XGW18415.1 V3C99_002776 
XGW18417.1 V3C99_002777 
XGW18418.1 V3C99_002778 
XGW18419.1 V3C99_002779 
XGW18421.1 V3C99_002780 
XGW18423.1 V3C99_002781 
XGW18425.1 V3C99_002782 
XGW18426.1 V3C99_002783 
XGW18429.1 V3C99_002784 
XGW18431.1 V3C99_002785 
XGW18432.1 V3C99_002786 
XGW18434.1 V3C99_002787 
XGW18435.1 V3C99_002788 
XGW18436.1 V3C99_002789 
XGW18439.1 V3C99_002790 
XGW18440.1 V3C99_002791 
XGW18442.1 V3C99_002792 
XGW18444.1 V3C99_002793 
XGW18447.1 V3C99_002794 
XGW18449.1 V3C99_002795 
XGW18451.1 V3C99_002796 
XGW18455.1 V3C99_002797 
XGW18457.1 V3C99_002798 
XGW18463.1 V3C99_002799 
XGW18465.1 V3C99_002800 
XGW18467.1 V3C99_002801 
XGW18471.1 V3C99_002802 
XGW18472.1 V3C99_002803 
XGW18474.1 V3C99_002804 
XGW18479.1 V3C99_002805 
XGW18481.1 V3C99_002806 
XGW18484.1 V3C99_002807 
XGW18486.1 V3C99_002808 
XGW18488.1 V3C99_002809 
XGW18489.1 V3C99_002810 
XGW18490.1 V3C99_002811 
XGW18492.1 V3C99_002812 
XGW18493.1 V3C99_002813 
XGW18495.1 V3C99_002814 
XGW18497.1 V3C99_002815 
XGW18499.1 V3C99_002816 
XGW18500.1 V3C99_002817 
XGW18503.1 V3C99_002818 
XGW18506.1 V3C99_002819 
XGW18508.1 V3C99_002820 
XGW18509.1 V3C99_002821 
XGW18510.1 V3C99_002822 
XGW18512.1 V3C99_002823 
XGW18513.1 V3C99_002824 
XGW18516.1 V3C99_002825 
XGW18519.1 V3C99_002826 
XGW18520.1 V3C99_002827 
XGW18522.1 V3C99_002828 
XGW18526.1 V3C99_002829 
XGW18527.1 V3C99_002830 
XGW18528.1 V3C99_002831 
XGW18530.1 V3C99_002832 
XGW18532.1 V3C99_002833 
XGW18534.1 V3C99_002834 
XGW18536.1 V3C99_002835 
XGW18537.1 V3C99_002836 
XGW18538.1 V3C99_002837 
XGW18541.1 V3C99_002838 
XGW18544.1 V3C99_002839 
XGW18546.1 V3C99_002840 
XGW18547.1 V3C99_002841 
XGW18549.1 V3C99_002842 
XGW18551.1 V3C99_002843 
XGW18553.1 V3C99_002844 
XGW18554.1 V3C99_002845 
XGW18556.1 V3C99_002846 
XGW18558.1 V3C99_002847 
XGW18561.1 V3C99_002848 
XGW18562.1 V3C99_002849 
XGW18564.1 V3C99_002850 
XGW18566.1 V3C99_002851 
XGW18567.1 V3C99_002852 
XGW18568.1 V3C99_002853 
XGW18569.1 V3C99_002854 
XGW18571.1 V3C99_002855 
XGW18572.1 V3C99_002856 
XGW18574.1 V3C99_002857 
XGW18576.1 V3C99_002858 
XGW18577.1 V3C99_002859 
XGW18581.1 V3C99_002860 
XGW18582.1 V3C99_002861 
XGW18584.1 V3C99_002862 
XGW18586.1 V3C99_002863 
XGW18588.1 V3C99_002864 
XGW18589.1 V3C99_002865 
XGW18591.1 V3C99_002866 
XGW18594.1 V3C99_002867 
XGW18596.1 V3C99_002868 
XGW18597.1 V3C99_002869 
XGW18600.1 V3C99_002870 
XGW18602.1 V3C99_002871 
XGW18604.1 V3C99_002872 
XGW18605.1 V3C99_002873 
XGW18606.1 V3C99_002874 
XGW18607.1 V3C99_002875 
XGW18608.1 V3C99_002876 
XGW18609.1 V3C99_002877 
XGW18611.1 V3C99_002878 
XGW18613.1 V3C99_002879 
XGW18616.1 V3C99_002880 
XGW18618.1 V3C99_002881 
XGW18621.1 V3C99_002882 
XGW18622.1 V3C99_002883 
XGW18623.1 V3C99_002884 
XGW18624.1 V3C99_002885 
XGW18627.1 V3C99_002886 
XGW18628.1 V3C99_002887 
XGW18630.1 V3C99_002888 
XGW18632.1 V3C99_002889 
XGW18633.1 V3C99_002890 
XGW18634.1 V3C99_002891 
XGW18636.1 V3C99_002892 
XGW18639.1 V3C99_002893 
XGW18640.1 V3C99_002894 
XGW18641.1 V3C99_002895 
XGW18642.1 V3C99_002896 
XGW18646.1 V3C99_002897 
XGW18648.1 V3C99_002898 
XGW18650.1 V3C99_002899 
XGW18651.1 V3C99_002900 
XGW18662.1 V3C99_002901 
XGW18664.1 V3C99_002902 
XGW18665.1 V3C99_002903 
XGW18667.1 V3C99_002904 
XGW18669.1 V3C99_002905 
XGW18670.1 V3C99_002906 
XGW18673.1 V3C99_002907 
XGW18674.1 V3C99_002908 
XGW18676.1 V3C99_002909 
XGW18677.1 V3C99_002910 
XGW18678.1 V3C99_002911 
XGW18679.1 V3C99_002912 
XGW18681.1 V3C99_002913 
XGW18683.1 V3C99_002914 
XGW18684.1 V3C99_002915 
XGW18685.1 V3C99_002916 
XGW18691.1 V3C99_002917 
XGW18693.1 V3C99_002918 
XGW18695.1 V3C99_002919 
XGW18697.1 V3C99_002920 
XGW18699.1 V3C99_002921 
XGW18702.1 V3C99_002922 
XGW18704.1 V3C99_002923 
XGW18706.1 V3C99_002924 
XGW18707.1 V3C99_002925 
XGW18709.1 V3C99_002926 
XGW18711.1 V3C99_002927 
XGW18712.1 V3C99_002928 
XGW18713.1 V3C99_002929 
XGW18715.1 V3C99_002930 
XGW18716.1 V3C99_002931 
XGW18717.1 V3C99_002932 
XGW18718.1 V3C99_002933 
XGW18719.1 V3C99_002934 
XGW18721.1 V3C99_002935 
XGW18723.1 V3C99_002936 
XGW18725.1 V3C99_002937 
XGW18726.1 V3C99_002938 
XGW18728.1 V3C99_002939 
XGW18730.1 V3C99_002940 
XGW18732.1 V3C99_002941 
XGW18738.1 V3C99_002942 
XGW18741.1 V3C99_002943 
XGW18744.1 V3C99_002944 
XGW18745.1 V3C99_002945 
XGW18746.1 V3C99_002946 
XGW18747.1 V3C99_002947 
XGW18748.1 V3C99_002948 
XGW18750.1 V3C99_002949 
XGW18752.1 V3C99_002950 
XGW18753.1 V3C99_002951 
XGW18755.1 V3C99_002952 
XGW18757.1 V3C99_002953 
XGW18760.1 V3C99_002954 
XGW18761.1 V3C99_002955 
XGW18762.1 V3C99_002956 
XGW18765.1 V3C99_002957 
XGW18766.1 V3C99_002958 
XGW18768.1 V3C99_002959 
XGW18774.1 V3C99_002960 
XGW18776.1 V3C99_002961 
XGW18783.1 V3C99_002962 
XGW18785.1 V3C99_002963 
XGW18786.1 V3C99_002964 
XGW18788.1 V3C99_002965 
XGW18789.1 V3C99_002966 
XGW18790.1 V3C99_002967 
XGW18792.1 V3C99_002968 
XGW18795.1 V3C99_002969 
XGW18796.1 V3C99_002970 
XGW18797.1 V3C99_002971 
XGW18799.1 V3C99_002972 
XGW18801.1 V3C99_002973 
XGW18802.1 V3C99_002974 
XGW18803.1 V3C99_002975 
XGW18804.1 V3C99_002976 
XGW18805.1 V3C99_002977 
XGW18806.1 V3C99_002978 
XGW18807.1 V3C99_002979 
XGW18808.1 V3C99_002980 
XGW18811.1 V3C99_002981 
XGW18813.1 V3C99_002982 
XGW18815.1 V3C99_002983 
XGW18816.1 V3C99_002984 
XGW18818.1 V3C99_002985 
XGW18820.1 V3C99_002986 
XGW18822.1 V3C99_002987 
XGW18826.1 V3C99_002988 
XGW18829.1 V3C99_002989 
XGW18832.1 V3C99_002990 
XGW18833.1 V3C99_002991 
XGW18836.1 V3C99_002992 
XGW18838.1 V3C99_002993 
XGW18839.1 V3C99_002994 
XGW18840.1 V3C99_002995 
XGW18842.1 V3C99_002996 
XGW18844.1 V3C99_002997 
XGW18846.1 V3C99_002998 
XGW18848.1 V3C99_002999 
XGW18851.1 V3C99_003000 
XGW18853.1 V3C99_003001 
XGW18854.1 V3C99_003002 
XGW18857.1 V3C99_003003 
XGW18860.1 V3C99_003004 
XGW18862.1 V3C99_003005 
XGW18863.1 V3C99_003006 
XGW18864.1 V3C99_003007 
XGW18865.1 V3C99_003008 
XGW18867.1 V3C99_003009 
XGW18869.1 V3C99_003010 
XGW18871.1 V3C99_003011 
XGW18873.1 V3C99_003012 
XGW18876.1 V3C99_003013 
XGW18878.1 V3C99_003014 
XGW18879.1 V3C99_003015 
XGW18881.1 V3C99_003016 
XGW18883.1 V3C99_003017 
XGW18885.1 V3C99_003018 
XGW18888.1 V3C99_003019 
XGW18891.1 V3C99_003020 
XGW18892.1 V3C99_003021 
XGW18893.1 V3C99_003022 
XGW18895.1 V3C99_003023 
XGW18896.1 V3C99_003024 
XGW18897.1 V3C99_003025 
XGW18898.1 V3C99_003026 
XGW18899.1 V3C99_003027 
XGW18900.1 V3C99_003028 
XGW18902.1 V3C99_003029 
XGW18906.1 V3C99_003030 
XGW18908.1 V3C99_003031 
XGW18909.1 V3C99_003032 
XGW18910.1 V3C99_003033 
XGW18911.1 V3C99_003034 
XGW18912.1 V3C99_003035 
XGW18913.1 V3C99_003036 
XGW18914.1 V3C99_003037 
XGW18916.1 V3C99_003038 
XGW18917.1 V3C99_003039 
XGW18919.1 V3C99_003040 
XGW18921.1 V3C99_003041 
XGW18922.1 V3C99_003042 
XGW18924.1 V3C99_003043 
XGW18927.1 V3C99_003044 
XGW18931.1 V3C99_003045 
XGW18932.1 V3C99_003046 
XGW18934.1 V3C99_003047 
XGW18937.1 V3C99_003048 
XGW18938.1 V3C99_003049 
XGW18940.1 V3C99_003050 
XGW18942.1 V3C99_003051 
XGW18943.1 V3C99_003052 
XGW18945.1 V3C99_003053 
XGW18948.1 V3C99_003054 
XGW18949.1 V3C99_003055 
XGW18951.1 V3C99_003056 
XGW18952.1 V3C99_003057 
XGW18953.1 V3C99_003058 
XGW18955.1 V3C99_003059 
XGW18957.1 V3C99_003060 
XGW18961.1 V3C99_003061 
XGW18962.1 V3C99_003062 
XGW18964.1 V3C99_003063 
XGW18965.1 V3C99_003064 
XGW18966.1 V3C99_003065 
XGW18967.1 V3C99_003066 
XGW18968.1 V3C99_003067 
XGW18970.1 V3C99_003068 
XGW18971.1 V3C99_003069 
XGW18972.1 V3C99_003070 
XGW18974.1 V3C99_003071 
XGW18976.1 V3C99_003072 
XGW18977.1 V3C99_003073 
XGW18980.1 V3C99_003074 
XGW18981.1 V3C99_003075 
XGW18984.1 V3C99_003076 
XGW18985.1 V3C99_003077 
XGW18987.1 V3C99_003078 
XGW18990.1 V3C99_003079 
XGW18992.1 V3C99_003080 
XGW18994.1 V3C99_003081 
XGW18995.1 V3C99_003082 
XGW18996.1 V3C99_003083 
XGW18997.1 V3C99_003084 
XGW18998.1 V3C99_003085 
XGW18999.1 V3C99_003086 
XGW19000.1 V3C99_003087 
XGW19001.1 V3C99_003088 
XGW19003.1 V3C99_003089 
XGW19004.1 V3C99_003090 
XGW19006.1 V3C99_003091 
XGW19008.1 V3C99_003092 
XGW19009.1 V3C99_003093 
XGW19011.1 V3C99_003094 
XGW19013.1 V3C99_003095 
XGW19015.1 V3C99_003096 
XGW19016.1 V3C99_003097 
XGW19017.1 V3C99_003098 
XGW19018.1 V3C99_003099 
XGW19020.1 V3C99_003100 
XGW19021.1 V3C99_003101 
XGW19022.1 V3C99_003102 
XGW19023.1 V3C99_003103 
XGW19024.1 V3C99_003104 
XGW19025.1 V3C99_003105 
XGW19026.1 V3C99_003106 
XGW19028.1 V3C99_003107 
XGW19030.1 V3C99_003108 
XGW19033.1 V3C99_003109 
XGW19034.1 V3C99_003110 
XGW19035.1 V3C99_003111 
XGW19037.1 V3C99_003112 
XGW19038.1 V3C99_003113 
XGW19040.1 V3C99_003114 
XGW19042.1 V3C99_003115 
XGW19043.1 V3C99_003116 
XGW19044.1 V3C99_003117 
XGW19045.1 V3C99_003118 
XGW19047.1 V3C99_003119 
XGW19049.1 V3C99_003120 
XGW19050.1 V3C99_003121 
XGW19051.1 V3C99_003122 
XGW19052.1 V3C99_003123 
XGW19054.1 V3C99_003124 
XGW19056.1 V3C99_003125 
XGW19058.1 V3C99_003126 
XGW19060.1 V3C99_003127 
XGW19064.1 V3C99_003128 
XGW19066.1 V3C99_003129 
XGW19067.1 V3C99_003130 
XGW19070.1 V3C99_003131 
XGW19071.1 V3C99_003132 
XGW19073.1 V3C99_003133 
XGW19077.1 V3C99_003134 
XGW19078.1 V3C99_003135 
XGW19079.1 V3C99_003136 
XGW19081.1 V3C99_003137 
XGW19083.1 V3C99_003138 
XGW19084.1 V3C99_003139 
XGW19085.1 V3C99_003140 
XGW19086.1 V3C99_003141 
XGW19088.1 V3C99_003142 
XGW19091.1 V3C99_003143 
XGW19095.1 V3C99_003144 
XGW19096.1 V3C99_003145 
XGW19097.1 V3C99_003146 
XGW19098.1 V3C99_003147 
XGW19099.1 V3C99_003148 
XGW19104.1 V3C99_003149 
XGW19105.1 V3C99_003150 
XGW19106.1 V3C99_003151 
XGW19108.1 V3C99_003152 
XGW19111.1 V3C99_003153 
XGW19112.1 V3C99_003154 
XGW19114.1 V3C99_003155 
XGW19115.1 V3C99_003156 
XGW19116.1 V3C99_003157 
XGW19117.1 V3C99_003158 
XGW19118.1 V3C99_003159 
XGW19119.1 V3C99_003160 
XGW19120.1 V3C99_003161 
XGW19123.1 V3C99_003162 
XGW19124.1 V3C99_003163 
XGW19127.1 V3C99_003164 
